alpha,p_incorrect,n_abstained,seed,model,dataset_key
0.1,0.5355450236966824,422,0,full,gsm8k_phi3
0.2,0.37041420118343193,845,0,full,gsm8k_phi3
0.3,0.2833464877663773,1267,0,full,gsm8k_phi3
0.4,0.23254437869822486,1690,0,full,gsm8k_phi3
0.5,0.20549242424242425,2112,0,full,gsm8k_phi3
0.6,0.18587213891081295,2534,0,full,gsm8k_phi3
0.7,0.17247210010145417,2957,0,full,gsm8k_phi3
0.8,0.15685113939035217,3379,0,full,gsm8k_phi3
0.9,0.1409784324039979,3802,0,full,gsm8k_phi3
0.1,0.5308056872037915,422,1,full,gsm8k_phi3
0.2,0.3727810650887574,845,1,full,gsm8k_phi3
0.3,0.2786108918705604,1267,1,full,gsm8k_phi3
0.4,0.2331360946745562,1690,1,full,gsm8k_phi3
0.5,0.20265151515151514,2112,1,full,gsm8k_phi3
0.6,0.18153117600631413,2534,1,full,gsm8k_phi3
0.7,0.17044301657084884,2957,1,full,gsm8k_phi3
0.8,0.1571470849363717,3379,1,full,gsm8k_phi3
0.9,0.1412414518674382,3802,1,full,gsm8k_phi3
0.1,0.5118483412322274,422,2,full,gsm8k_phi3
0.2,0.3585798816568047,845,2,full,gsm8k_phi3
0.3,0.27071823204419887,1267,2,full,gsm8k_phi3
0.4,0.22958579881656804,1690,2,full,gsm8k_phi3
0.5,0.20549242424242425,2112,2,full,gsm8k_phi3
0.6,0.1866614048934491,2534,2,full,gsm8k_phi3
0.7,0.1714575583361515,2957,2,full,gsm8k_phi3
0.8,0.1562592482983131,3379,2,full,gsm8k_phi3
0.9,0.14150447133087848,3802,2,full,gsm8k_phi3
0.1,0.518957345971564,422,3,full,gsm8k_phi3
0.2,0.35502958579881655,845,3,full,gsm8k_phi3
0.3,0.27466456195737965,1267,3,full,gsm8k_phi3
0.4,0.23076923076923078,1690,3,full,gsm8k_phi3
0.5,0.2012310606060606,2112,3,full,gsm8k_phi3
0.6,0.18310970797158643,2534,3,full,gsm8k_phi3
0.7,0.1711193777477173,2957,3,full,gsm8k_phi3
0.8,0.15655519384433264,3379,3,full,gsm8k_phi3
0.9,0.1409784324039979,3802,3,full,gsm8k_phi3
0.1,0.533175355450237,422,4,full,gsm8k_phi3
0.2,0.34911242603550297,845,4,full,gsm8k_phi3
0.3,0.27150749802683505,1267,4,full,gsm8k_phi3
0.4,0.2319526627218935,1690,4,full,gsm8k_phi3
0.5,0.20833333333333334,2112,4,full,gsm8k_phi3
0.6,0.19021310181531176,2534,4,full,gsm8k_phi3
0.7,0.17348664186675686,2957,4,full,gsm8k_phi3
0.8,0.15744303048239125,3379,4,full,gsm8k_phi3
0.9,0.1407154129405576,3802,4,full,gsm8k_phi3
0.1,0.15165876777251186,422,0,baseline,gsm8k_phi3
